ID_LTE,radio,lat,lon
255,LTE,40.114619,-83.214492
256,LTE,40.135477,-83.197979
257,LTE,40.186794,-83.296351
258,LTE,40.206369,-83.304962
259,LTE,40.240754,-83.359772
260,LTE,40.186717,-83.27184
261,LTE,40.151443,-83.251604
262,LTE,39.980883,-83.170965
263,LTE,40.102995,-82.993884
264,LTE,39.947076,-82.877691
265,LTE,39.967502,-82.889025
266,LTE,39.97007,-82.886017
267,LTE,39.960253,-82.915344
268,LTE,39.974604,-82.905056
269,LTE,39.972227,-82.890078
270,LTE,39.943609,-82.909852
271,LTE,39.96592,-83.301253
272,LTE,39.95921,-83.34157
273,LTE,39.969133,-83.006085
274,LTE,39.969059,-83.005962
275,LTE,39.943045,-82.914739
276,LTE,40.107074,-83.090038
277,LTE,40.098319,-83.09278
278,LTE,39.965152,-83.002497
279,LTE,40.146403,-82.975583
280,LTE,39.987844,-83.03952
281,LTE,40.067078,-83.168173
282,LTE,39.971073,-82.891025
283,LTE,40.039038,-83.246216
284,LTE,40.03944,-83.246086
285,LTE,40.035179,-83.26474
286,LTE,40.043583,-83.278709
287,LTE,40.045453,-83.29472
288,LTE,40.051767,-83.317602
289,LTE,40.100504,-83.323951
290,LTE,40.028716,-83.334843
291,LTE,40.152042,-83.221336
292,LTE,40.225647,-83.169655
293,LTE,39.978741,-83.179047
294,LTE,39.962399,-83.256409
295,LTE,39.94434,-83.254456
296,LTE,39.94434,-83.254456
297,LTE,39.94434,-83.254456
298,LTE,40.029465,-83.170258
299,LTE,40.024609,-82.88957
300,LTE,40.026227,-82.902348
301,LTE,39.9527,-82.877463
302,LTE,39.969673,-82.998753
303,LTE,39.968748,-83.001173
304,LTE,39.965329,-82.995968
305,LTE,39.962234,-82.997738
306,LTE,39.967174,-83.000453
307,LTE,40.101622,-82.925637
308,LTE,39.970315,-82.998293
309,LTE,39.975454,-82.992657
310,LTE,39.986907,-83.002995
311,LTE,39.986588,-83.007658
312,LTE,39.963677,-83.099006
313,LTE,39.955011,-83.1026
314,LTE,39.945785,-82.960178
315,LTE,39.948547,-82.954185
316,LTE,39.934581,-83.013284
317,LTE,40.002092,-83.031889
318,LTE,40.109364,-82.9883
319,LTE,40.069603,-82.906641
320,LTE,39.963339,-82.889863
321,LTE,40.098768,-82.917765
322,LTE,39.955803,-82.938961
323,LTE,39.956443,-82.937415
324,LTE,39.949405,-82.917741
325,LTE,39.948777,-82.871684
326,LTE,39.987557,-83.017637
327,LTE,39.989317,-83.041202
328,LTE,39.94735,-82.90813
329,LTE,39.969867,-82.911956
330,LTE,40.030752,-83.174694
331,LTE,40.029202,-83.1686
332,LTE,40.026525,-83.171768
333,LTE,39.940793,-82.891336
334,LTE,39.996845,-83.035185
335,LTE,40.019906,-82.994147
336,LTE,39.945409,-82.99171
337,LTE,39.948169,-82.992767
338,LTE,39.969357,-82.968891
339,LTE,39.9702,-82.971762
340,LTE,39.966793,-83.296547
341,LTE,39.966793,-83.296547
342,LTE,39.966793,-83.296547
343,LTE,39.957557,-83.224382
344,LTE,39.973622,-83.201041
345,LTE,39.967561,-82.969067
346,LTE,39.989854,-83.006598
347,LTE,40.06026,-82.976731
348,LTE,39.946613,-82.963034
349,LTE,40.009283,-83.098765
350,LTE,40.129384,-83.016421
351,LTE,40.149016,-82.97071
352,LTE,39.956976,-83.185099
353,LTE,39.94993,-83.180592
354,LTE,39.949237,-83.199097
355,LTE,39.948407,-83.20875
356,LTE,39.96151,-83.318378
357,LTE,39.974278,-83.272328
358,LTE,39.974693,-83.271049
359,LTE,40.079451,-83.03702
360,LTE,40.059466,-83.017965
361,LTE,40.195268,-82.936901
362,LTE,40.15325,-82.969796
363,LTE,40.120166,-82.975141
364,LTE,40.030026,-83.169102
365,LTE,40.03133,-83.172089
366,LTE,40.035198,-83.176155
367,LTE,40.031035,-83.169304
368,LTE,40.029638,-83.174198
369,LTE,40.062172,-83.179466
370,LTE,40.059792,-83.176521
371,LTE,40.035233,-83.176308
372,LTE,40.121834,-83.185684
373,LTE,39.950359,-83.171193
374,LTE,39.950748,-83.167709
