Migration ID,Migration Technique,Workload,Available Network Bandwidth (mbps),Page Dirty Rate (4KB pages per second),VM_SIZE (MB),Page transfer rate (MB/s),Total Migration Time (ms),Downtime (ms),Total Transferred Data (KB)
1463752989,auto-converge,dacapo,803,3471,335.41796875,150,3860,235,378324
1463753287,xbzrle,parsec,875,163,294.76171875,150,2917,128,311670
1463753430,xbzrle,mem,921,1092,769.546875,150,7336,226,825461
1463753498,xbzrle,mem,931,10721,961.5859375,150,13538,311,1540053
1463753572,xbzrle,parsec,925,6744,2034.9453125,150,21097,215,2383795
1463753727,xbzrle,dacapo,908,15981,684.49609375,150,7264,120,805407
1463753795,xbzrle,mem,931,1771,730.4296875,150,7048,265,801710
1463753863,xbzrle,mem,864,7581,961.671875,150,13230,324,1395509
1463754010,xbzrle,dacapo,906,15979,685.1953125,150,7297,107,806987
1463754158,xbzrle,parsec,935,2657,2032.62890625,150,21122,227,2411165
1463754239,xbzrle,mem,935,12951,1255.90234375,150,20115,318,2297799
1463754321,xbzrle,mem,839,9253,961.78125,150,14991,322,1535503
1463754398,xbzrle,mem,929,12890,1255.921875,150,20346,407,2309398
1463754698,compress,mem,217,12911,1155.92578125,150,39895,94,1060034
1463754799,compress,dacapo,226,15906,675.1328125,150,18438,767,508862
1463754877,compress,dacapo,188,5678,675.26171875,150,20323,186,466551
1463755057,compress,mem,230,12887,1155.9765625,150,45524,99,1278425
1463755162,compress,mplayer,421,22924,2026.26171875,150,51296,1155,2641675
1463755274,compress,mem,228,13252,1155.9921875,150,46072,112,1286193
1463755380,compress,dacapo,205,15936,675.52734375,150,22734,829,568848
1463755611,compress,parsec,204,156,398.92578125,150,11664,206,291084
1463755683,compress,mem,222,12833,1156.046875,150,47542,113,1289476
1463755926,compress,parsec,264,155,405.05078125,150,9059,233,292543
1463755997,compress,mem,138,12908,1253.47265625,150,152066,22951,2562346
1463756211,compress,mplayer,261,1155,2028.1171875,150,72169,885,2301693
1463756344,compress,dacapo,185,3691,333.5078125,150,9937,225,224434
1463756846,x-postcopy-ram,mem,934,12856,1157.35546875,150,10464,8,1193113
1463756984,x-postcopy-ram,mem,924,1113,767.69140625,150,7037,2,794198
1463757255,x-postcopy-ram,parsec,853,341,406.8046875,150,4110,2,428351
1463757386,x-postcopy-ram,mem,846,37305,467.5703125,150,4714,2,486969
1463757454,x-postcopy-ram,mem,917,1105,767.75390625,150,7088,2,794258
1463757522,x-postcopy-ram,parsec,865,162,412.32421875,150,4089,2,432036
1463757659,x-postcopy-ram,mem,902,1061,767.75390625,150,7210,2,794258
1463757945,original,mem,920,1145,773.54296875,150,7387,261,829556
1463758014,original,mem,867,1112,773.54296875,150,7855,249,831262
1463758420,original,mplayer,940,20453,2026.5,150,26504,640,3041561
1463758595,original,bzip,907,4995,2038.26953125,150,22025,276,2440241
1463758678,original,bzip,937,6656,2038.2734375,150,21215,310,2428135
1463758760,original,dacapo,851,5378,341.1171875,150,4059,269,421741
1463758829,original,mem,936,12936,1256.75390625,150,20167,263,2305995
1463759075,original,mem,925,1063,773.62109375,150,7346,224,829576
1463759142,original,dacapo,881,3899,334.98828125,150,3516,200,378020
1463759425,auto-converge,parsec,911,3076,2035.7421875,150,22454,256,2498903
1463759758,auto-converge,dacapo,911,3621,330.953125,150,3340,199,371494
1463759985,auto-converge,parsec,904,3117,2033.28125,150,22145,308,2445257
1463760154,auto-converge,mem,910,20918,1081.421875,150,32591,293,3623037
1463760326,auto-converge,mem,840,1728,729.74609375,150,7862,251,806093
1463760623,auto-converge,mem,887,1188,771.89453125,150,7660,278,829615
1463761054,xbzrle,mplayer,911,14817,886.23046875,150,14012,222,1558965
1463761288,xbzrle,mplayer,901,14673,1339.65234375,150,17884,316,1968878
1463761369,xbzrle,parsec,931,8849,2034.609375,150,21415,221,2435137
1463761452,xbzrle,bzip,888,4902,2038.4453125,150,22451,228,2434578
1463761536,xbzrle,mem,918,19027,1077.69140625,150,18134,57,2033012
1463761616,xbzrle,bzip,935,4599,2038.4375,150,20903,271,2387149
1463761698,xbzrle,mem,923,1732,727.80078125,150,7098,279,799618
1463761840,xbzrle,parsec,931,2816,2031.9453125,150,21336,263,2426258
1463761998,xbzrle,mem,933,19025,1077.79296875,150,17780,81,2027020
1463762076,xbzrle,parsec,915,2896,2034.1015625,150,21746,21,2430543
1463762515,compress,parsec,158,2827,2035.57421875,150,74550,96,1444485
1463762652,compress,parsec,179,157,296.41015625,150,4899,38,107460
1463762819,compress,dacapo,145,16799,721.79296875,150,44672,1376,795283
1463762926,compress,parsec,191,2738,2033.01171875,150,52536,54,1225707
1463763133,compress,mem,248,7970,784.20703125,150,76220,220,2308628
1463763367,compress,dacapo,90,16731,722.60546875,150,53144,3378,584427
1463763484,compress,mem,155,12899,1257.62109375,150,135088,21978,2563346
1463763681,compress,dacapo,133,3876,334.89453125,150,13950,202,226972
1463763863,compress,parsec,159,119,296.609375,150,5645,40,109564
1463763931,compress,parsec,199,2740,2035.9296875,150,51908,53,1262569
1463764497,x-postcopy-ram,mem,929,13046,1259.38671875,150,11436,2,1297568
1463764571,x-postcopy-ram,dacapo,829,3992,330.1015625,150,3420,1,346355
1463764703,x-postcopy-ram,mem,916,8000,785.7578125,150,7262,2,812690
1463764837,x-postcopy-ram,parsec,921,2789,2032.41796875,150,18563,2,2088960
1463764916,x-postcopy-ram,mem,901,19090,1083.6875,150,10157,1,1117696
1463764989,x-postcopy-ram,mem,910,19035,1083.69140625,150,10051,1,1117704
1463765061,x-postcopy-ram,parsec,924,2887,2032.73828125,150,18521,2,2089292
1463765282,x-postcopy-ram,mem,903,19034,1083.69140625,150,10130,2,1117700
1463765422,x-postcopy-ram,mem,896,12920,1259.4140625,150,11863,1,1297596
1463765720,original,mem,932,19096,1085.41796875,150,27724,284,3156940
1463765894,original,mem,924,12951,1257.37890625,150,20673,280,2333694
1463766056,original,bzip,923,4509,2038.13671875,150,21491,314,2422671
1463766138,original,mem,936,1799,729.5390625,150,7014,268,801481
1463766205,original,mem,924,12928,1257.43359375,150,20728,300,2338106
1463766288,original,dacapo,911,11089,344.65234375,150,3958,278,440049
1463766352,original,mem,930,1762,729.5625,150,7043,297,800260
1463766420,original,bzip,856,4521,2038.203125,150,23196,290,2424410
1463766505,original,dacapo,902,16061,679.09375,150,7191,242,792309
1463766574,original,mem,933,1098,773.60546875,150,7279,220,829162
1463766641,original,bzip,926,4976,2038.24609375,150,21346,270,2413100
1463766724,original,bzip,915,5677,2038.2265625,150,22082,276,2468070
1463766895,original,mem,925,1052,773.64453125,150,7343,213,829218
1463767273,auto-converge,dacapo,928,15763,722.6796875,150,18902,340,2141320
1463767354,auto-converge,mem,933,17387,1079.8515625,150,26817,312,3057046
1463767446,auto-converge,bzip,851,4688,2038.234375,150,23623,276,2456065
1463767700,auto-converge,dacapo,930,16148,723.6171875,150,18463,417,2096899
1463767782,auto-converge,mem,917,1780,726.44921875,150,7136,277,799414
1463768010,auto-converge,bzip,907,4796,2038.07421875,150,21636,260,2395930
1463768094,auto-converge,bzip,919,4725,2038.09765625,150,21389,253,2400575
1463768179,auto-converge,mem,842,1590,726.4609375,150,7874,252,809572
1463768249,auto-converge,parsec,811,154,409.234375,150,5408,244,535564
1463768695,xbzrle,mem,921,12982,1157.5234375,150,18971,276,2133237
1463768774,xbzrle,bzip,892,4633,2037.28125,150,22209,281,2420170
1463768858,xbzrle,mem,888,29352,1119.640625,150,27674,1165,2999773
1463768947,xbzrle,mem,927,19055,1081.5390625,150,17945,50,2032516
1463769026,xbzrle,mem,883,19055,1081.54296875,150,18805,116,2028921
1463769107,xbzrle,mem,928,19096,1081.55859375,150,17978,127,2036570
1463769186,xbzrle,bzip,933,4645,2038.47265625,150,21227,270,2417958
1463769268,xbzrle,mem,924,12875,1157.578125,150,18275,352,2062609
1463769348,xbzrle,bzip,877,5396,2038.2890625,150,22583,291,2420132
1463769504,xbzrle,parsec,868,149,401.515625,150,4978,308,527531
1463769573,xbzrle,dacapo,853,8504,334.8515625,150,3617,194,376755
1463769637,xbzrle,parsec,917,151,296.765625,150,2803,143,313930
1463769774,xbzrle,mem,915,10682,963.73046875,150,13825,297,1545549
1463769849,xbzrle,mem,932,10897,963.734375,150,13420,300,1526787
1463770627,compress,dacapo,205,15977,677.59765625,150,22153,825,555132
1463770712,compress,parsec,198,2923,2032.6640625,150,48718,112,1177691
1463770822,compress,mem,134,1058,772.29296875,150,25761,120,422570
1463771040,compress,mem,205,1050,772.3046875,150,16145,134,404377
1463771500,compress,dacapo,161,16008,677.77734375,150,23044,374,454090
1463771796,compress,bzip,108,4210,2038.44140625,150,108055,130,1428196
1463772189,x-postcopy-ram,parsec,906,3056,2035.4296875,150,18914,2,2092019
1463772271,x-postcopy-ram,mplayer,907,4758,570.1484375,150,5374,1,595071
1463772404,x-postcopy-ram,dacapo,896,16068,716.78125,150,6785,2,742107
1463772473,x-postcopy-ram,mem,883,12233,1155.59375,150,11043,1,1191310
1463772547,x-postcopy-ram,dacapo,858,4563,683.4921875,150,6753,3,707747
1463772615,x-postcopy-ram,mem,919,12941,1263.3125,150,11597,3,1301591
1463772688,x-postcopy-ram,dacapo,914,16048,683.62109375,150,6342,1,708151
1463772756,x-postcopy-ram,parsec,873,183,394.76953125,150,3888,2,414474
1463772821,x-postcopy-ram,mem,924,10735,1155.64453125,150,10555,1,1191362
1463772893,x-postcopy-ram,mem,925,28896,1117.98046875,150,10203,2,1152803
1463773100,x-postcopy-ram,mem,921,12902,1263.37890625,150,11567,1,1301667
1463773241,x-postcopy-ram,mem,927,12786,1155.73046875,150,10524,3,1191450
1463773535,original,parsec,903,24843,779.7265625,150,11827,274,1304276
1463773610,original,parsec,883,24507,793.9140625,150,10286,278,1109614
1463773768,original,parsec,923,3007,2035.62890625,150,22103,253,2490341
1463773937,original,mplayer,840,1247,1404.59375,150,14194,110,1455779
1463774012,original,bzip,919,4964,2038.1796875,150,21658,309,2429982
1463774181,original,mplayer,889,13615,1868.40234375,150,20584,292,2235887
1463774266,original,mplayer,924,4930,1257.625,150,11893,277,1342211
1463774338,original,mem,932,10977,957.6328125,150,13314,296,1515891
1463774412,original,mplayer,791,5216,1414.2578125,150,15715,257,1518963
1463774571,original,mplayer,884,5092,1593.6484375,150,15888,294,1715148
1463775359,auto-converge,parsec,901,2882,2033.39453125,150,22184,280,2441902
1463775442,auto-converge,mem,782,7178,778.2890625,150,11678,270,1115206
1463775516,auto-converge,parsec,911,24771,776.765625,150,11846,276,1317323
1463775661,auto-converge,parsec,887,2701,2030.34375,150,30555,290,3310198
1463775925,auto-converge,mplayer,924,5382,1407.93359375,150,13335,254,1504699
1463776000,auto-converge,mplayer,934,14217,2027.72265625,150,21392,313,2439945
1463776083,auto-converge,dacapo,833,3847,331.80078125,150,3680,232,374082
1463776223,auto-converge,bzip,939,4857,2038.39453125,150,21412,292,2454968
1463776533,xbzrle,mem,928,12924,1255.4765625,150,20410,395,2312908
1463776758,xbzrle,mem,931,19082,1083.53515625,150,17732,53,2015681
1463776838,xbzrle,mem,928,12927,1255.4921875,150,20549,397,2329212
1463776923,xbzrle,mem,911,10448,959.44921875,150,13873,334,1543398
1463777000,xbzrle,mplayer,939,19939,2028.05078125,150,26335,431,3021072
1463777086,xbzrle,parsec,922,2408,2034.21875,150,21369,113,2405898
1463777171,xbzrle,mem,900,19130,1083.640625,150,18460,114,2029813
1463777251,xbzrle,parsec,888,2993,2029.9375,150,22233,21,2412243
1463777335,xbzrle,mem,919,17370,1083.671875,150,18111,54,2032651
1463777415,xbzrle,mem,924,8082,781.83984375,150,9722,296,1096698
1463777557,xbzrle,mplayer,936,24849,2026.15625,150,26561,554,3037406
1463777718,xbzrle,parsec,934,2623,2034.265625,150,20863,41,2379816
1463778225,compress,parsec,266,28365,777.546875,150,30194,2699,981233
1463778316,compress,mplayer,409,19879,2028.44921875,150,54714,1467,2731537
1463778529,compress,mem,264,27253,1121.54296875,150,145546,20906,4699582
1463778735,compress,parsec,152,2673,2033.98828125,150,63679,86,1183989
1463778862,compress,parsec,197,2904,2033.9609375,150,55332,17,1331725
1463778978,compress,mem,102,10316,1155.6796875,150,160010,15261,2006022
1463779201,compress,parsec,226,25189,766.06640625,150,31745,2129,878326
1463779294,compress,parsec,199,3881,2036.17578125,150,57008,46,1386601
1463779411,compress,parsec,174,2895,2035.7109375,150,58233,54,1238977
1463779531,compress,mplayer,457,5354,2035.06640625,150,35529,115,1984911
1463780353,x-postcopy-ram,parsec,872,292,382.9296875,150,3783,2,402793
1463780488,x-postcopy-ram,mem,929,1595,721.96484375,150,6587,1,747386
1463780558,x-postcopy-ram,mem,922,19058,1079.91796875,150,9893,2,1113837
1463780631,x-postcopy-ram,mem,924,1768,722,150,6625,2,747422
1463780700,x-postcopy-ram,mem,929,1776,722.03125,150,6590,1,747454
1463780767,x-postcopy-ram,mem,925,12565,1155.80078125,150,10552,2,1191526
1463780840,x-postcopy-ram,mem,905,28721,1119.7578125,150,10443,3,1154627
1463780981,x-postcopy-ram,mem,912,13425,1155.8125,150,10701,3,1191542
1463781188,x-postcopy-ram,parsec,903,2848,2031.94921875,150,18943,2,2088480
1463781269,x-postcopy-ram,parsec,916,2563,2031.94921875,150,18672,2,2088480
1463781350,x-postcopy-ram,mem,914,19039,1080.13671875,150,9975,1,1114064
1463781649,original,mem,920,7997,779.859375,150,9720,250,1092209
1463781721,original,mplayer,911,4927,560.25,150,5541,228,616234
1463781788,original,mplayer,894,4910,609.93359375,150,6146,258,670652
1463781855,original,mplayer,873,5179,665.6875,150,6861,286,731445
1463781924,original,parsec,932,2687,2034.37109375,150,22415,306,2552094
1463782007,original,mem,936,10604,963.77734375,150,13506,280,1543592
1463782080,original,mem,737,6406,780.08203125,150,12195,292,1098098
1463782155,original,mplayer,886,5103,994.0703125,150,9998,278,1082165
1463782229,original,dacapo,880,3644,337.4296875,150,3531,205,379548
1463782296,original,bzip,932,5344,2037.9296875,150,21726,302,2474040
