C_LAT,C_LON,STO_LAT,STO_LON,STO_ID,STT_LAT,STT_LON,STT_ID,Cone_Max,Cone_Min,Migration Occurance,C_Heading
39.980917,-82.945607,39.978561,-82.96669,120,40.000324,-82.942215,61,174.0,354.0,1,84.0
39.980927,-82.945385,39.978561,-82.96669,120,40.000324,-82.942215,61,174.0,354.0,1,84.0
39.980932,-82.945175,39.978561,-82.96669,120,40.000324,-82.942215,61,174.0,354.0,1,84.0
39.980938,-82.944968,39.978561,-82.96669,120,40.000324,-82.942215,61,174.0,354.0,1,84.0
39.980945,-82.94477,39.978561,-82.96669,120,40.000324,-82.942215,61,174.0,354.0,1,84.0
39.980953,-82.944585,39.978561,-82.96669,120,40.000324,-82.942215,61,174.0,354.0,1,84.0
39.980958,-82.944405,40.000324,-82.942215,61,-1.0,-1.0,-1,174.0,354.0,0,84.0
39.980962,-82.944233,40.000324,-82.942215,61,-1.0,-1.0,-1,174.0,354.0,0,84.0
39.980968,-82.944063,40.000324,-82.942215,61,-1.0,-1.0,-1,174.0,354.0,0,84.0
39.980977,-82.9439,40.000324,-82.942215,61,-1.0,-1.0,-1,174.0,354.0,0,84.0
39.980987,-82.943737,40.000324,-82.942215,61,-1.0,-1.0,-1,174.0,354.0,0,84.0
39.980997,-82.94357,40.000324,-82.942215,61,-1.0,-1.0,-1,174.0,354.0,0,84.0
39.98101,-82.943405,40.000324,-82.942215,61,-1.0,-1.0,-1,174.0,354.0,0,84.0
39.981028,-82.94324,40.000324,-82.942215,61,-1.0,-1.0,-1,168.0,348.0,0,78.0
39.981048,-82.943063,40.000324,-82.942215,61,-1.0,-1.0,-1,168.0,348.0,0,78.0
39.981078,-82.942902,40.000324,-82.942215,61,-1.0,-1.0,-1,168.0,348.0,0,78.0
39.98111,-82.942733,40.000324,-82.942215,61,-1.0,-1.0,-1,168.0,348.0,0,78.0
39.981152,-82.94256,40.000324,-82.942215,61,-1.0,-1.0,-1,162.0,342.0,0,72.0
39.981223,-82.942413,40.000324,-82.942215,61,-1.0,-1.0,-1,156.0,336.0,0,66.0
